outcome,spec_order,spec,spec_label,sample,key_table,corp_union_coef,corp_union_se,corp_union_p,corp_only_coef,corp_only_se,corp_only_p,added_terms,added_1_term,added_1_coef,added_1_se,added_1_p,added_2_term,added_2_coef,added_2_se,added_2_p,nobs,clusters,formula,attenuation_vs_matched_sample_pct,attenuation_vs_a_pct,attenuation_vs_restricted_baseline_pct
atr_top1,6,f_acquirer_no_bans,(f-acq) Acquirer only; no ban terms,full,False,,,,,,,CU x R-trifecta acquirer,CU x R-trifecta acquirer,-0.5197858857923764,0.24155013534203518,0.036690087505270495,,,,,846,47,atr_top1 ~ cu_x_rep_trifecta_acq + C(state) + C(year),,,
atr_top1,7,f_contemporaneous_no_bans,(f-t) R trifecta (t) only; no ban terms,full,False,,,,,,,R trifecta (t),R trifecta (t),-0.2156018600732279,0.11814996894253227,0.07452688758925337,,,,,846,47,atr_top1 ~ rep_trifecta + C(state) + C(year),,,
atr_top1,8,f_lagged_no_bans,(f-lag) R trifecta (t-1) only; no ban terms,full,False,,,,,,,R trifecta (t-1),R trifecta (t-1),-0.2669618938013505,0.11868485481233042,0.02932079802552959,,,,,799,47,atr_top1 ~ rep_trifecta_lag + C(state) + C(year),,,
atr_top1,9,f_redmap_no_bans,(f-map) REDMAP only; no ban terms,full,False,,,,,,,CU x REDMAP,CU x REDMAP,-0.5114069121076804,0.4246924293614851,0.23467902914973043,,,,,846,47,atr_top1 ~ cu_x_redmap + C(state) + C(year),,,
atr_top1,10,f_both_no_bans,(f) Acquirer + REDMAP; no ban terms,full,True,,,,,,,CU x R-trifecta acquirer; CU x REDMAP,CU x R-trifecta acquirer,-0.4444328766110164,0.1990494154966851,0.030471692027476703,CU x REDMAP,-0.2494444441865429,0.38633518045061693,0.5217020316450375,846,47,atr_top1 ~ cu_x_rep_trifecta_acq + cu_x_redmap + C(state) + C(year),,,
rs,6,f_acquirer_no_bans,(f-acq) Acquirer only; no ban terms,full,False,,,,,,,CU x R-trifecta acquirer,CU x R-trifecta acquirer,-0.07521828244678336,0.03090199089415109,0.018870198995443177,,,,,846,47,rs ~ cu_x_rep_trifecta_acq + C(state) + C(year),,,
rs,7,f_contemporaneous_no_bans,(f-t) R trifecta (t) only; no ban terms,full,False,,,,,,,R trifecta (t),R trifecta (t),-0.03720396179407153,0.013680192281362817,0.009192240998729633,,,,,846,47,rs ~ rep_trifecta + C(state) + C(year),,,
rs,8,f_lagged_no_bans,(f-lag) R trifecta (t-1) only; no ban terms,full,False,,,,,,,R trifecta (t-1),R trifecta (t-1),-0.04732081602905314,0.015357460981944973,0.003475020581318108,,,,,799,47,rs ~ rep_trifecta_lag + C(state) + C(year),,,
rs,9,f_redmap_no_bans,(f-map) REDMAP only; no ban terms,full,False,,,,,,,CU x REDMAP,CU x REDMAP,-0.08467235005337104,0.05361360484276447,0.12111834598597411,,,,,846,47,rs ~ cu_x_redmap + C(state) + C(year),,,
rs,10,f_both_no_bans,(f) Acquirer + REDMAP; no ban terms,full,True,,,,,,,CU x R-trifecta acquirer; CU x REDMAP,CU x R-trifecta acquirer,-0.06039371557274052,0.024891906927528056,0.01923483779108311,CU x REDMAP,-0.04907442827268972,0.04830296397096803,0.31495714274379727,846,47,rs ~ cu_x_rep_trifecta_acq + cu_x_redmap + C(state) + C(year),,,
